customer_id,customer_name,contact_email,account_number,account_type,gender,acct_open_date,products,state_of_residence
CUST00001,Jesse Townsend,ryan18@gmail.com,ACC29551396,Current,Female,2020-03-12,FlexMore,Delta
CUST00002,Deborah Hopkins,jerry32@lopez.com,ACC56940887,Current,Male,2022-12-30,SaveEasy,Abuja
CUST00003,Christine Blanchard,pmartin@hotmail.com,ACC71196020,Current,Male,2020-07-26,FlexMore,Kaduna
CUST00004,Lance Hernandez,garyjohnson@young.biz,ACC40830512,Current,Male,2020-08-03,FlexMore,Rivers
CUST00005,Nicole Williams,hannah58@cooper.info,ACC35312780,Current,Female,2022-12-06,BetterSave,Kano
CUST00006,Robin Zamora,john68@yahoo.com,ACC64098739,Current,Female,2024-06-20,BetterSave,Rivers
CUST00007,Anthony Richards,brianhill@hotmail.com,ACC97045955,Savings,Male,2020-07-16,SaveEasy,Osun
CUST00008,Rachael Tanner,debragoodman@hotmail.com,ACC63085283,Savings,Male,2022-07-20,FlexMore,Rivers
CUST00009,Adam Wilson,cortezjason@hardy-garcia.com,ACC13507755,Savings,Female,2023-07-27,BetterSave,Rivers
CUST00010,Amanda Wallace,dsalas@villa.com,ACC93734739,Savings,Male,2019-11-05,FamFriends,Osun
CUST00011,Martin Martinez,bjohnson@hayes-dominguez.net,ACC55461598,Current,Female,2021-03-01,BetterSave,Delta
CUST00012,Shannon Butler,mjones@pollard-morales.com,ACC18313877,Savings,Female,2020-04-26,BetterSave,Oyo
CUST00013,Zachary Myers,nelsonkevin@gmail.com,ACC42184967,Current,Female,2024-04-05,FamFriends,Rivers
CUST00014,James Valdez,dawn01@gomez.com,ACC17814058,Current,Male,2020-03-23,SaveEasy,Oyo
CUST00015,Luke Gomez,patriciasmith@smith.biz,ACC26240772,Savings,Male,2022-10-06,FamFriends,Enugu
CUST00016,Christie Blankenship,garrettcynthia@gmail.com,ACC93372481,Savings,Female,2023-03-27,FamFriends,Edo
CUST00017,Lauren Rodriguez,michelleriley@gmail.com,ACC11681382,Savings,Female,2019-11-30,FlexMore,Enugu
CUST00018,Jimmy Erickson,williamsscott@knight.com,ACC25983386,Savings,Male,2020-04-06,BetterSave,Abuja
CUST00019,Michael Peters,tamaraspencer@jackson.org,ACC63768893,Savings,Female,2022-09-27,SaveEasy,Edo
CUST00020,Monica Brewer,darren74@gmail.com,ACC31626107,Savings,Female,2022-06-23,SaveEasy,Kano
CUST00021,Thomas Walker,martinezcrystal@mclaughlin.net,ACC43392627,Savings,Male,2023-07-29,SaveEasy,Rivers
CUST00022,Anthony Leach,jacobsalexandria@gmail.com,ACC38417339,Savings,Male,2021-01-28,FamFriends,Abuja
CUST00023,Kenneth Hall,walkernichole@burton.com,ACC63958430,Savings,Female,2022-02-08,BetterSave,Edo
CUST00024,Melissa Peck,christopher59@harvey.com,ACC56125966,Current,Male,2020-04-04,FamFriends,Delta
CUST00025,Dalton Adams,bgalvan@stout.info,ACC29505965,Savings,Female,2019-11-15,SaveEasy,Osun
CUST00026,Jessica Bell,ybrown@lee.com,ACC46102846,Current,Female,2021-10-10,SaveEasy,Kano
CUST00027,Troy Ross,matthew43@hotmail.com,ACC40554699,Savings,Female,2021-01-03,FamFriends,Lagos
CUST00028,Jason Cortez,kristinkennedy@ayala.com,ACC46409758,Current,Male,2022-12-12,SaveEasy,Enugu
CUST00029,Julie Rogers,dcarlson@gmail.com,ACC49529534,Savings,Female,2022-07-15,SaveEasy,Abuja
CUST00030,Matthew Rowe,amanda55@gmail.com,ACC39483596,Current,Male,2020-08-01,SaveEasy,Osun
CUST00031,Gina Ayala,kathygarner@hotmail.com,ACC57326587,Current,Female,2021-04-23,SaveEasy,Rivers
CUST00032,David Smith,vrobinson@yahoo.com,ACC21239204,Savings,Female,2019-11-25,FlexMore,Rivers
CUST00033,Karen Norris,michelle25@werner-powell.com,ACC10432149,Savings,Female,2019-07-21,BetterSave,Rivers
CUST00034,Terri Nichols,courtney78@stevenson-garrett.com,ACC61077857,Current,Female,2023-09-24,FlexMore,Kano
CUST00035,Susan White,oaustin@moreno.org,ACC31607013,Current,Male,2020-11-01,BetterSave,Rivers
CUST00036,Katie Foster DVM,yfranco@adkins.com,ACC68714199,Savings,Female,2021-12-18,FlexMore,Abuja
CUST00037,Jerry Robbins,lauraburns@hotmail.com,ACC87717639,Savings,Male,2024-01-04,BetterSave,Edo
CUST00038,Beth Taylor,zsmith@gmail.com,ACC67713880,Current,Male,2024-06-03,SaveEasy,Lagos
CUST00039,Brenda Houston,ahood@phillips-bond.biz,ACC69261625,Current,Male,2022-10-27,FlexMore,Edo
CUST00040,Paula Wells,hicksbrian@patterson.com,ACC24256838,Savings,Female,2021-05-31,SaveEasy,Enugu
CUST00041,Debra Stone,wdonovan@richardson.com,ACC86055855,Savings,Male,2020-02-21,FlexMore,Rivers
CUST00042,William Hughes,fieldskatherine@hotmail.com,ACC58066947,Current,Male,2023-08-07,BetterSave,Kaduna
CUST00043,Jeffrey Jarvis,kelly16@gmail.com,ACC25569780,Current,Female,2023-12-14,FlexMore,Kaduna
CUST00044,Sonya Stanley,williamschristopher@hotmail.com,ACC40720058,Savings,Male,2023-05-06,FlexMore,Enugu
CUST00045,Stephanie Sloan,lisaatkinson@hotmail.com,ACC25165737,Savings,Male,2021-08-08,BetterSave,Lagos
CUST00046,Kelly Velazquez,deanna54@gmail.com,ACC74166721,Current,Female,2020-11-05,FlexMore,Edo
CUST00047,Tiffany Spence,johnthomas@mcdonald-powell.com,ACC16377379,Current,Male,2021-07-30,SaveEasy,Rivers
CUST00048,Crystal Kidd,jevans@hotmail.com,ACC15312682,Savings,Female,2021-11-24,SaveEasy,Abuja
CUST00049,Gina Gibbs,solson@hotmail.com,ACC39896439,Current,Female,2022-12-25,SaveEasy,Oyo
CUST00050,Alyssa Warren,victoriamurphy@yahoo.com,ACC23924073,Current,Female,2022-06-26,BetterSave,Osun
CUST00051,Jessica Carpenter DVM,millereric@brown.net,ACC35769321,Current,Male,2023-08-15,FlexMore,Kaduna
CUST00052,Mark Torres,rogersdawn@yahoo.com,ACC90104709,Savings,Male,2024-06-06,BetterSave,Abuja
CUST00053,Nicholas Walter,johnsonshawn@yang.org,ACC21755303,Current,Male,2019-10-23,FamFriends,Oyo
CUST00054,Tammy Goodman,staffordlaura@pierce.com,ACC30464211,Savings,Female,2019-09-14,SaveEasy,Kano
CUST00055,Shawn Dennis,singhdebra@hotmail.com,ACC79688965,Savings,Female,2024-02-09,SaveEasy,Enugu
CUST00056,Gina Green,williamstracey@hotmail.com,ACC69258307,Current,Male,2023-05-22,SaveEasy,Edo
CUST00057,Michael King,zwilliams@smith.com,ACC18152418,Current,Female,2021-02-03,FlexMore,Kano
CUST00058,Candice Knox,jeffrey28@pierce.org,ACC68503529,Savings,Male,2024-06-24,FamFriends,Oyo
CUST00059,Matthew Mcmillan,maciasheather@aguilar-rivera.com,ACC39194604,Current,Female,2022-06-10,BetterSave,Oyo
CUST00060,Shawn Shaw,karenstevenson@hotmail.com,ACC54819110,Savings,Female,2020-12-20,FlexMore,Enugu
CUST00061,Sean Pierce,cwilson@yahoo.com,ACC33627446,Savings,Female,2024-01-07,SaveEasy,Kaduna
CUST00062,Thomas Cline,kwilliams@duncan.net,ACC26065435,Savings,Female,2019-09-21,FamFriends,Kano
CUST00063,John Lopez,jeffrey37@wilson.com,ACC98779409,Savings,Female,2023-09-01,SaveEasy,Edo
CUST00064,Brooke Jordan,wtucker@hotmail.com,ACC55271601,Savings,Female,2021-09-05,BetterSave,Osun
CUST00065,Andrea Watson,fernandezveronica@jones.com,ACC16629761,Savings,Female,2022-04-26,SaveEasy,Oyo
CUST00066,Amber Ross,greenmichael@yahoo.com,ACC88052582,Current,Female,2020-03-11,BetterSave,Kaduna
CUST00067,Ernest Thompson,qramirez@wallace.com,ACC53559558,Savings,Male,2021-11-29,FlexMore,Kaduna
CUST00068,Brittany Rodriguez,aaronbowman@gmail.com,ACC76206170,Current,Female,2024-06-27,FlexMore,Edo
CUST00069,Samantha Obrien,gracephillips@hotmail.com,ACC23101625,Savings,Male,2021-07-05,SaveEasy,Kano
CUST00070,Amanda Myers,kellycarter@duncan.com,ACC20837774,Savings,Female,2020-08-22,BetterSave,Kano
CUST00071,Wendy Wright,pfreeman@gmail.com,ACC54960383,Current,Male,2019-08-06,FamFriends,Edo
CUST00072,Charles Thompson,youngsabrina@parks.net,ACC56191571,Current,Male,2021-12-01,FamFriends,Osun
CUST00073,Kathleen Pearson,burtonjamie@yahoo.com,ACC31241935,Current,Female,2020-12-06,FlexMore,Delta
CUST00074,James Lopez,carolynlee@yahoo.com,ACC68299139,Savings,Male,2022-01-28,FamFriends,Abuja
CUST00075,Javier Martinez,kjefferson@gmail.com,ACC81852853,Savings,Female,2023-07-16,BetterSave,Edo
CUST00076,Sean Conley,pcrawford@gmail.com,ACC81538458,Current,Male,2024-06-17,BetterSave,Oyo
CUST00077,Timothy Daniels,alvaradojudith@hotmail.com,ACC34475003,Savings,Male,2024-01-01,BetterSave,Osun
CUST00078,Sandra Schroeder,wallaceemily@campbell.com,ACC97697096,Savings,Male,2021-05-22,FamFriends,Osun
